domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
100percentfedup.com,0.856,0.0,0.0,0.0006,0.4212,0.5783,1
10tv.com,-0.0984,0.0203,0.2057,0.693,0.0744,0.0065,1
11alive.com,0.0686,0.0088,0.1699,0.5958,0.2211,0.0043,1
6abc.com,-0.5037,0.0925,0.406,0.4659,0.0349,0.0007,1
7online.com,-0.4067,0.0751,0.2747,0.6391,0.0093,0.0018,1
800whistleblower.com,0.8268,0.0002,0.0003,0.0038,0.5081,0.4876,1
9news.com,-0.032,0.0332,0.1355,0.6571,0.16,0.0143,1
aattp.org,-0.8936,0.9486,0.0509,0.0004,0.0001,0.0,1
abc11.com,-0.19,0.074,0.3381,0.4908,0.0926,0.0045,1
abc13.com,0.0097,0.0283,0.1498,0.6534,0.1644,0.0041,1
abc7.com,-0.31,0.1301,0.3264,0.4026,0.1345,0.0065,1
abc7chicago.com,-0.503,0.1239,0.4502,0.3851,0.0389,0.0019,1
abcnews.go.com,-0.1605,0.0505,0.2642,0.5222,0.1082,0.0548,1
aclj.org,0.9268,0.0,0.0,0.0001,0.0645,0.9354,1
aclu.org,-0.7686,0.7872,0.1607,0.0485,0.0018,0.0018,1
act.weareultraviolet.org,-0.971,0.152,0.848,0.0,0.0,0.0,1
addictinginfo.org,-0.8894,0.9392,0.0607,0.0001,0.0,0.0,1
advocate.com,-0.9276,0.9609,0.035,0.0025,0.0005,0.001,1
againstcronycapitalism.org,0.6857,0.0,0.0002,0.0196,0.9008,0.0795,1
al.com,0.009,0.0999,0.1739,0.2678,0.4035,0.0549,1
alan.com,-0.9009,0.9275,0.0657,0.0064,0.0004,0.0,1
algemeiner.com,0.4456,0.0,0.0084,0.4891,0.4591,0.0433,1
aljazeera.com,-0.5895,0.3394,0.5653,0.0828,0.0116,0.0009,1
allenbwest.com,0.8918,0.0,0.0,0.0,0.4003,0.5997,1
allenwestrepublic.com,0.9423,0.0,0.0,0.0,0.0255,0.9745,1
alternativemediasyndicate.com,-0.5579,0.0859,0.8821,0.032,0.0,0.0,1
alternet.org,-0.8804,0.8854,0.1049,0.0082,0.0014,0.0001,1
