domain	fn_color	fn_is_fake
afp.com	green	0.0
buzzfeed.com	green	0.0
dallasnews.com	green	0.0
dw.com	green	0.0
foxnews.com	green	0.0
huffingtonpost.com	green	0.0
ijr.com	green	0.0
independent.co.uk	green	0.0
lawofficer.com	green	0.0
magicvalley.com	green	0.0
montgomeryadvertiser.com	green	0.0
msn.com	green	0.0
newsday.com	green	0.0
talkingpointsmemo.com	green	0.0
telegraph.co.uk	green	0.0
time.com	green	0.0
washingtontimes.com	green	0.0
yahoo.com	green	0.0
amazon.com		0.0
ebay.com		0.0
etsy.com		0.0
facebook.com		0.0
flickr.com		0.0
google.com		0.0
hillaryspeeches.com		0.0
imgur.com		0.0
instagram.com		0.0
legacy.com		0.0
linkis.com		0.0
princeton.edu		0.0
sli.mg		0.0
yelp.com		0.0
youtube.com		0.0
2ndvote.com	orange	1.0
afa.net	orange	1.0
ahtribune.com	orange	1.0
awarenessact.com	orange	1.0
concealednation.org	orange	1.0
conservativetribune.com	orange	1.0
crooksandliars.com	orange	1.0
dailycaller.com	orange	1.0
dailyheadlines.net	orange	1.0
dailynewsbin.com	orange	1.0
dailypost.ng	orange	1.0
dailywire.com	orange	1.0
davidwolfe.com	orange	1.0
defund.com	orange	1.0
dennismichaellynch.com	orange	1.0
endoftheamericandream.com	orange	1.0
express.co.uk	orange	1.0
healthnutnews.com	orange	1.0
heatst.com	orange	1.0
impulsetoday.com	orange	1.0
inquisitr.com	orange	1.0
iotwreport.com	orange	1.0
joeforamerica.com	orange	1.0
medicalkidnap.com	orange	1.0
newcenturytimes.com	orange	1.0
onlysimchas.com	orange	1.0
palmerreport.com	orange	1.0
pamelageller.com	orange	1.0
qpolitical.com	orange	1.0
redflagnews.com	orange	1.0
regated.com	orange	1.0
rightwingnews.com	orange	1.0
theconservativetreehouse.com	orange	1.0
thefederalistpapers.org	orange	1.0
thehornnews.com	orange	1.0
themindunleashed.com	orange	1.0
thenationalpatriot.com	orange	1.0
tmn.today	orange	1.0
toprightnews.com	orange	1.0
tribunist.com	orange	1.0
trueactivist.com	orange	1.0
uschronicle.com	orange	1.0
youngcons.com	orange	1.0
zerohedge.com	orange	1.0
usuncut.com	orange	1.0
chicksontheright.com	orange	1.0
ihavethetruth.com	orange	1.0
100percentfedup.com	red	1.0
activistpost.com	red	1.0
allenbwest.com	red	1.0
americannews.com	red	1.0
americantoday.news	red	1.0
americasfreedomfighters.com	red	1.0
anonews.co	red	1.0
anonhq.com	red	1.0
barenakedislam.com	red	1.0
bipartisanreport.com	red	1.0
channel-7-news.com	red	1.0
collective-evolution.com	red	1.0
conservativefiringline.com	red	1.0
conservativeoutfitters.com	red	1.0
