domain,yin_name,yin_state,yin_website,yin_twitter,yin_youtube,yin_facebook,yin_owner,yin_medium,yin_source,yin_collection_date,yin_is_news
kwhe.com,KWHE,HI,http://www.kwhe.com/,,,,LeSea,TV station,stationindex,2018-08-02 14:55:24.612585,1
wgvu.org,WGVK,MI,http://www.wgvu.org/,,,,Grand Valley State University,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktuu.com,KTUU,AK,http://www.ktuu.com/,,,,Schurz Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktbytv.com,KTBY,AK,http://www.ktbytv.com/,,,,Coastal Television Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kyes.com,KYES,AK,http://www.kyes.com/,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
knik.com,KNIK-LP,AK,http://www.knik.com/,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
kakm.org,KAKM,AK,http://www.kakm.org/,,,,Alaska Public Telecommunications,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktva.com,KTVA,AK,http://www.ktva.com/,,,,MediaNews Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
youralaskalink.com,KYUR,AK,http://www.youralaskalink.com/,,,,Coastal Television Broadcasting Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
aksuperstation.com,KATN,AK,http://www.aksuperstation.com/,,,,Smith Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
tvtv.com,KFXF,AK,http://www.tvtv.com/,,,,Tanana Valley Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
alaskaone.org,KUAC,AK,http://www.alaskaone.org/,,,,University of Alaska,TV station,stationindex,2018-08-02 14:55:24.612585,1
webcenter11.com,KTVF,AK,http://www.webcenter11.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
5newsonline.com,KFSM,AK,http://5newsonline.com/,5news,,https://www.facebook.com/5news,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
wbrc.com,WBRC,AL,http://www.wbrc.com/,,,,Local TV LLC,TV station,stationindex,2018-08-02 14:55:24.612585,1
aptv.org,WCIQ,AL,http://www.aptv.org/,,,,Alabama Public Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
wvtm13.com,WVTM,AL,http://www.wvtm13.com/,,,,Nexstar Media Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
abc3340.com,WGWW,AL,http://www.abc3340.com/,,,,Howard Stirk Holdings,TV station,stationindex,2018-08-02 14:55:24.612585,1
tbn.org,WTJP,AL,http://www.tbn.org/,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585,1
wpmi.com,WPMI,AL,http://www.wpmi.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
gocwtv.com,WBPG,AL,http://www.gocwtv.com/,,,,LIN TV,TV station,stationindex,2018-08-02 14:55:24.612585,1
thevalleyscw.tv,WHDF,AL,http://www.thevalleyscw.tv/,,,,Lockwood Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
waaytv.com,WAAY,AL,http://www.waaytv.com/,,,,Piedmont Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
waff.com,WAFF,AL,http://www.waff.com/,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox54.com,WZDX,AL,http://www.fox54.com/,,,,Huntsville Television Acquisition,TV station,stationindex,2018-08-02 14:55:24.612585,1
waka.com,WAKA,AL,http://www.waka.com/,,,,Alabama Broadcasting Partners,TV station,stationindex,2018-08-02 14:55:24.612585,1
wsfa.com,WSFA,AL,http://www.wsfa.com/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
wcov.com,WCOV,AL,http://www.wcov.com/,,,,Woods Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
cwmontgomery.com,WBMM,AL,http://www.cwmontgomery.com/,,,,Bahakel Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
alabamanews.net,WNCF,AL,http://www.alabamanews.net/,,,,SagamoreHill Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
wrjm.com,WRJM,AL,http://www.wrjm.com/,,,,Josie Park Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
wtvynews4.com,WTVY,AL,http://www.wtvynews4.com/,,,,Gray Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
wdhn.com,WDHN,AL,http://www.wdhn.com/,,,,Nexstar,TV station,stationindex,2018-08-02 14:55:24.612585,1
wdfxfox34.com,WDFX,AL,http://www.wdfxfox34.com/,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox10tv.com,WALA,AL,http://www.fox10tv.com/,Fox10News,,https://www.facebook.com/FOX10News,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585,1
cbs42.com,WIAT,AL,cbs42.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
wkrg.com,WKRG,AL,wkrg.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
rocketcitynow.com,WZDX,AL,rocketcitynow.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
dothanfirst.com,WDHN,AL,dothanfirst.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
whnt.com,WHNT,AL,http://whnt.com/,whnt,https://www.youtube.com/user/whntnews19 ,https://www.facebook.com/whntnews19,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
wabm68.com,WABM,AL,http://www.wabm68.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
wtto21.com,WDBB,AL,http://www.wtto21.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
utv44.com,WJTC,AL,http://www.utv44.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
wfgxtv.com,WFGX,AL,http://www.wfgxtv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
weartv.com,WEAR,AL,http://www.weartv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
local15tv.com,WPMI,AL,http://www.local15tv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
aetn.org,KETS,AR,http://www.aetn.org/,,,,Arkansas Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
