domain	color	is_fake
afp.com	green	False
buzzfeed.com	green	False
dallasnews.com	green	False
dw.com	green	False
foxnews.com	green	False
huffingtonpost.com	green	False
ijr.com	green	False
independent.co.uk	green	False
lawofficer.com	green	False
magicvalley.com	green	False
montgomeryadvertiser.com	green	False
msn.com	green	False
newsday.com	green	False
talkingpointsmemo.com	green	False
telegraph.co.uk	green	False
time.com	green	False
washingtontimes.com	green	False
yahoo.com	green	False
amazon.com		False
ebay.com		False
etsy.com		False
facebook.com		False
flickr.com		False
google.com		False
hillaryspeeches.com		False
imgur.com		False
instagram.com		False
legacy.com		False
linkis.com		False
princeton.edu		False
sli.mg		False
yelp.com		False
youtube.com		False
2ndvote.com	orange	True
afa.net	orange	True
ahtribune.com	orange	True
awarenessact.com	orange	True
concealednation.org	orange	True
conservativetribune.com	orange	True
crooksandliars.com	orange	True
dailycaller.com	orange	True
dailyheadlines.net	orange	True
dailynewsbin.com	orange	True
dailypost.ng	orange	True
dailywire.com	orange	True
davidwolfe.com	orange	True
defund.com	orange	True
dennismichaellynch.com	orange	True
endoftheamericandream.com	orange	True
express.co.uk	orange	True
healthnutnews.com	orange	True
heatst.com	orange	True
impulsetoday.com	orange	True
inquisitr.com	orange	True
iotwreport.com	orange	True
joeforamerica.com	orange	True
medicalkidnap.com	orange	True
newcenturytimes.com	orange	True
onlysimchas.com	orange	True
palmerreport.com	orange	True
pamelageller.com	orange	True
qpolitical.com	orange	True
Redflagnews.com	orange	True
regated.com	orange	True
rightwingnews.com	orange	True
theconservativetreehouse.com	orange	True
thefederalistpapers.org	orange	True
thehornnews.com	orange	True
themindunleashed.com	orange	True
thenationalpatriot.com	orange	True
tmn.today	orange	True
toprightnews.com	orange	True
tribunist.com	orange	True
trueactivist.com	orange	True
uschronicle.com	orange	True
youngcons.com	orange	True
zerohedge.com	orange	True
usuncut.com	orange	True
chicksontheright.com	orange	True
ihavethetruth.com	orange	True
100percentfedup.com	red	True
activistpost.com	red	True
allenbwest.com	red	True
americannews.com	red	True
americantoday.news	red	True
americasfreedomfighters.com	red	True
anonews.co	red	True
anonhq.com	red	True
barenakedislam.com	red	True
bipartisanreport.com	red	True
channel-7-news.com	red	True
collective-evolution.com	red	True
conservativefiringline.com	red	True
conservativeoutfitters.com	red	True
conservativepost.com	red	True
dailystormer.com	red	True
dcclothesline.com	red	True
downtrend.com	red	True
endtimeheadlines.org	red	True
eutimes.net	red	True
fellowshipoftheminds.com	red	True
frontpagemag.com	red	True
fury.news	red	True
getoffthebs.com	red	True
gopthedailydose.com	red	True
gotnews.com	red	True
infowars.com	red	True
jookos.com	red	True
judicialwatch.org	red	True
louderwithcrowder.com	red	True
myfreshnews.com	red	True
naturalnews.com	red	True
newsrescue.com	red	True
nowtheendbegins.com	red	True
observatorial.com	red	True
powderedwigsociety.com	red	True
religiousmind.com	red	True
rightsidenews.com	red	True
shariaunveiled.wordpress.com	red	True
sourceplanet.net	red	True
